ing_id,ing_name,kcal,fat,protein,carbs,food_groups_id
147,Mustard,60,3.3,3.7,5.3,10
148,Lettuce,15,0.2,1.4,2.9,10
149,Tomato,18,0.2,0.9,3.9,10
150,Cheese,380,28,28,1.5,6
151,French baguette,289,1.6,9,58,9
152,Sautéed onions,40,0.1,1.1,9.3,10
153,Ketchup,100,0.1,1.8,25,10
154,Garlic powder,331,0.7,16.6,73,1
155,Crawfish,82,1,17,0,8
156,Cheddar cheese,402,33,25,1.3,6
157,Smoked paprika,289,13,15,54,1
158,Turkey,135,5,24,0,7
159,Lemons,29,0.3,1.1,9.3,10
160,Corn tortilla,218,2.5,5,45,9
161,Refried beans,120,2,7,20,10
162,Oaxaca cheese,300,24,18,2,6
163,Tomatoes,18,0.2,0.9,3.9,10
164,Avocado,160,15,2,9,10
165,Salsa,20,0.1,0.6,4.8,10
166,Chorizo,455,38,24,1.9,7
167,Apples,52,0.2,0.3,14,10
168,Puff Pastry,558,36,6.9,46,9
169,Lemon Juice,22,0.2,0.3,6.9,10
170,Halibut,186,2.5,26.7,0,8
171,Cockles,79,1.1,14.2,3.4,8
172,Olive Oil,884,100,0,0,5
173,Chicken,239,14,27.3,0,7
174,Lemon,29,0.3,1.1,9.3,10
175,Beef,250,15,26,0,7
176,Mushrooms,22,0.3,3.1,3.3,10
177,Sour Cream,214,20,2.9,4.6,6
178,Rice,130,0.3,2.7,28,9
179,Saffron,310,5.8,11.4,65.4,10
180,Bell Peppers,20,0.2,0.9,4.6,10
181,Kidney Beans,127,0.5,8.7,22.8,10
182,Black Beans,132,0.5,8.9,23.7,10
183,Chili Powder,282,14.3,12,49,1
184,Cumin,375,22.3,17.8,44.2,1
185,Arborio Rice,130,0.3,2.4,28,9
186,Vegetable Broth,15,0.1,0.8,2,10
187,Parmesan Cheese,431,29.2,38.5,4.1,6
188,Lamb,294,21,25.6,0,7
189,Dried Apricots,241,0.5,3.4,63.9,10
190,Chickpeas,164,2.6,8.9,27.4,10
191,Cinnamon,247,1.2,4,80.6,1
192,Fettuccine,158,1.5,6.2,30,9
193,Cream,340,36,2.1,3,6
194,White Fish,96,1,20,0,8
195,Tortillas,218,4.7,5.7,36.6,9
196,Yogurt,59,0.4,10,3.6,6
197,Ground Beef,250,15,26,0,7
198,Tomato Sauce,29,0.2,1.4,6.2,10
199,Eggplant,25,0.2,1,6,10
200,Mozzarella Cheese,280,17,28,3,6
201,Basil,23,0.6,3.2,1.9,10
202,Breadcrumbs,355,5.4,13.8,64.4,9
203,Butternut Squash,45,0.1,1,12,10
204,Broccoli,34,0.4,2.8,6.6,10
205,Ginger,80,0.8,1.8,17.8,10
206,Sesame Oil,884,100,0,0,5
207,Powdered Sugar,389,0,0,100,4
208,Romaine Lettuce,17,0.3,1.2,3.3,10
209,Chicken Breast,165,3.6,31,0,7
210,Croutons,407,8.9,10.1,72.4,9
211,Caesar Dressing,481,45.6,2.4,8.7,10
212,Lasagna Noodles,157,0.7,5.7,31,9
213,Ricotta Cheese,174,13,11,3.1,6
214,Marinara Sauce,61,1.7,1.6,9.3,10
215,White Wine,82,0,0.1,2.6,12
216,Red Onion,40,0.1,1.1,9.3,10
217,Kalamata Olives,210,21,1.8,3,10
218,Feta Cheese,265,21.3,14.2,4.1,6
219,Dijon Mustard,66,4.4,4.2,5.3,10
220,Egg Noodles,138,2.1,4.5,25.3,9
221,Clams,79,1.1,14.2,3.4,8
222,Potatoes,77,0.1,2,17.5,10
223,Celery,14,0.2,0.7,3,10
224,Heavy Cream,340,36,2.1,3,6
225,Bacon,541,41.8,37,1.4,7
226,Guacamole,118,10,1.5,8,10
227,Pasta,157,0.7,5.7,31,9
228,Pine Nuts,673,68,13.7,13.1,10
229,Salmon,206,13,22,0,8
230,Asparagus,20,0.1,2.2,3.9,10
231,Black Pepper,251,3.3,10.4,64,1
232,Bread,265,3.2,9.5,49,9
233,Sesame Seeds,573,49.7,17,23.5,10
234,Pumpkin,26,0.1,1,6.5,10
235,Brown Sugar,377,0,0,98.1,4
236,Pie Crust,458,29.9,6.5,42.4,9
237,Enchilada Sauce,60,2.5,1,8,10
238,Peas,81,0.4,5.4,14.5,10
239,Green Onions,32,0.3,1.8,7.3,10
240,Corn,86,1.2,3.2,19,10
241,Zucchini,17,0.3,1.2,3.1,10
242,Cherry Tomatoes,18,0.2,0.9,3.9,10
